crop_name,growth_stage,soil_type,nitrogen,phosphorus,potassium,ph_level,fertilizer_plan
soybean,seedling,peaty,83.77567883370068,51.33627390395663,106.63802877623112,7.722093961234585,balanced_npk_maintenance
tomato,flowering,sandy,76.22746262408684,71.90585313661857,110.53359653520536,6.941118015627124,balanced_npk_maintenance
wheat,fruiting,silt,64.02936562751327,63.04466806399341,90.2961395824305,7.824296480639429,sulfur_ph_correction
soybean,flowering,loam,101.89961862153214,51.37950946740178,130.6879106230756,6.487515145669399,balanced_npk_maintenance
lettuce,vegetative,silt,112.33271597184017,78.95270336162373,90.58115191837206,4.968881917614589,lime_ph_correction
maize,flowering,silt,21.58647803851774,17.83015253214623,99.27713592769673,4.958672097856875,nitrogen_boost
soybean,harvest,peaty,99.02481457238653,42.42978576724207,59.32461068761833,5.354130485334166,lime_ph_correction
soybean,fruiting,loam,27.764557559622492,18.281945499299063,108.33723517069612,5.428473525553085,nitrogen_boost
wheat,fruiting,clay,100.16724721141138,65.5538260512053,77.74639398150367,8.257426885503271,sulfur_ph_correction
citrus,flowering,peaty,59.799157383108536,10.906279497362757,74.44944958252574,5.529107869174102,phosphorus_root_support
maize,seedling,silt,29.919691142585698,89.38443892186478,58.01234691193736,7.291906472919756,nitrogen_boost
lettuce,harvest,clay,40.23838268275857,9.112762845453016,131.9713275990536,7.403940227960516,nitrogen_boost
citrus,fruiting,peaty,99.85835096644632,75.1096813240123,53.29563035187388,6.3707047154831,balanced_npk_maintenance
lettuce,fruiting,peaty,59.99262020402323,79.69169421038494,52.91844247725562,6.025998753349839,balanced_npk_maintenance
citrus,harvest,loam,105.08751655428608,58.1967097480304,78.6296446343814,5.308471258643324,lime_ph_correction
maize,harvest,clay,60.963212280465505,81.74048879576105,26.61462087688235,7.723500310277242,balanced_npk_maintenance
tomato,harvest,peaty,96.21890766910667,17.35702456693068,111.39610617283965,6.60426478277973,balanced_npk_maintenance
lettuce,flowering,loam,64.04739397991654,59.07123186157706,50.59762599819175,5.07424982815213,lime_ph_correction
tomato,flowering,sandy,43.00086629717435,22.900680010331527,64.95615829833588,6.653907031667107,nitrogen_boost
lettuce,seedling,sandy,44.478705446483794,72.69796850343214,58.58465307774961,7.0064381379225225,nitrogen_boost
rice,seedling,sandy,98.19461618917498,71.38748174406348,34.14420780518334,5.9136463610921695,balanced_npk_maintenance
maize,seedling,peaty,114.12159519830487,65.86243348714768,77.02365861318066,8.082957568838163,sulfur_ph_correction
rice,seedling,loam,44.62718770155023,44.7082382827772,73.63266990587861,5.418541544898161,nitrogen_boost
lettuce,harvest,silt,40.00633915899837,59.91813972175139,15.006503097577024,6.230129689457396,nitrogen_boost
citrus,harvest,peaty,50.221581797421884,71.16510233494544,68.17485867690058,8.113929822372492,sulfur_ph_correction
soybean,fruiting,silt,115.845867796022,23.856618250865942,125.59298434551874,6.918156010632151,balanced_npk_maintenance
maize,fruiting,silt,29.059640087332582,17.92978460695422,68.99378621608554,6.512261375925698,nitrogen_boost
wheat,seedling,peaty,132.5382805256865,23.229237455480174,32.82867005827058,7.314676964774343,phosphorus_root_support
citrus,vegetative,peaty,83.49621758919962,19.354097101301,50.95735519465549,5.620817529918562,lime_ph_correction
soybean,vegetative,sandy,75.83220366165594,24.559695323816214,102.28272094344179,6.587931592303507,balanced_npk_maintenance
rice,harvest,clay,24.163122835680262,48.49403408522274,85.97527630284675,6.6301705081065245,nitrogen_boost
lettuce,flowering,peaty,42.009731671865325,84.94367975707925,40.95759525283606,5.527450629697944,nitrogen_boost
lettuce,harvest,silt,66.11975060377881,34.00689357229006,108.6643422105362,5.1893866200667045,lime_ph_correction
wheat,seedling,sandy,113.52089107477,57.894447060740376,113.20757144399714,5.3160246709027215,lime_ph_correction
soybean,vegetative,peaty,69.04152077507788,81.6391222035655,121.28599817789433,5.928409734902122,balanced_npk_maintenance
wheat,fruiting,loam,109.36196108057761,64.50435287287925,62.25171364143906,7.4768249600361525,balanced_npk_maintenance
soybean,vegetative,sandy,71.54357051568445,36.699368201666225,59.58629407807178,8.072623317358417,sulfur_ph_correction
citrus,seedling,sandy,68.86391379007651,26.335666026980224,88.37093850920598,8.163650602918276,phosphorus_root_support
citrus,flowering,peaty,88.2503708867009,73.05741155875971,118.98151329583145,7.977846554398925,sulfur_ph_correction
tomato,harvest,silt,24.788617052756013,58.999972886922706,109.89418460372477,7.031630053330645,nitrogen_boost
lettuce,vegetative,loam,105.7934346095844,63.08929854392888,64.53892254009138,8.086605526250498,sulfur_ph_correction
maize,harvest,clay,61.84489812272243,68.7153840384552,49.656245586406925,6.303529196132266,balanced_npk_maintenance
rice,vegetative,sandy,108.2451234988545,77.93098763052734,40.664814642019735,8.380463440579952,sulfur_ph_correction
citrus,seedling,clay,32.136614429626945,72.70644120047423,67.47158933938505,6.598919912364249,nitrogen_boost
tomato,flowering,silt,91.23010484430417,42.08126006558306,134.46274056338976,6.059973572115239,balanced_npk_maintenance
lettuce,harvest,clay,26.262709359097208,80.81259054225924,52.914891993927185,8.39260481236023,nitrogen_boost
maize,fruiting,sandy,122.39178995397896,31.47149148811477,90.49975580012682,8.166747005022204,sulfur_ph_correction
rice,fruiting,sandy,15.971010490026107,54.496394155904966,111.31335944695178,5.117852263058625,nitrogen_boost
rice,fruiting,silt,75.8737056599841,49.93392774461124,124.67886562683141,8.289114765927186,sulfur_ph_correction
wheat,harvest,loam,25.729564406380987,9.629590125822341,70.67875926406418,6.597751053732919,nitrogen_boost
rice,vegetative,loam,38.82784971654638,70.1603959957614,43.584379973481155,7.6024454023316625,nitrogen_boost
soybean,vegetative,sandy,38.926980934358554,80.31723867074513,29.937552634989263,7.128969123641234,nitrogen_boost
tomato,fruiting,silt,71.71773280312674,22.042741898078162,40.335643939153826,7.03294988324871,potassium_fruit_support
lettuce,seedling,sandy,90.66107573803131,65.32259280146667,110.56211160123824,8.006092407183734,sulfur_ph_correction
soybean,vegetative,sandy,133.32882947396263,82.6725784781316,128.08622537442236,6.885199381426064,balanced_npk_maintenance
tomato,harvest,peaty,68.01895837439497,88.22540291791023,40.35642542278924,5.387702338055933,potassium_fruit_support
tomato,seedling,sandy,92.4658231699618,89.80959176933992,94.05711772485017,7.900870831275125,sulfur_ph_correction
rice,harvest,silt,89.77609827462327,48.71773171332186,21.613604938359895,6.297134579281695,balanced_npk_maintenance
soybean,vegetative,silt,69.90776981161477,9.263468838361376,111.04278605902992,6.346540167380212,balanced_npk_maintenance
soybean,vegetative,peaty,107.19003235900662,62.42109437846251,86.19786079071983,5.8663516750665075,balanced_npk_maintenance
maize,fruiting,peaty,133.82157974512666,18.820214110843487,89.81706613696466,5.711704382195624,balanced_npk_maintenance
lettuce,harvest,peaty,70.38021149462443,38.05494263860973,103.08766187929622,5.8800092034164,balanced_npk_maintenance
tomato,flowering,loam,128.45206444155895,26.487436145070443,17.456417663569805,5.038630635169039,phosphorus_root_support
maize,flowering,silt,111.59090886874746,18.861885668865135,19.269826302821542,6.676864286684142,phosphorus_root_support
soybean,seedling,clay,73.03037942882786,78.2906920456006,72.63390309461953,7.015392519643489,balanced_npk_maintenance
rice,seedling,clay,79.82451761361358,41.629164898942484,43.485851641502364,6.132039848002204,balanced_npk_maintenance
rice,flowering,clay,91.32545554514915,56.94119980854828,34.738081362562454,5.230728832803638,lime_ph_correction
wheat,fruiting,clay,132.72752818104482,76.4453380109144,46.88067997878679,6.575784463425964,balanced_npk_maintenance
soybean,harvest,clay,15.20288680842398,22.61436195382259,29.58384506541379,5.001617662868442,nitrogen_boost
maize,vegetative,sandy,23.408350053293347,47.19699258594725,41.57988859260293,4.848243515076478,nitrogen_boost
maize,fruiting,peaty,107.93121588198619,45.389888765880166,68.98684162373561,6.070589267447476,balanced_npk_maintenance
lettuce,flowering,sandy,113.27615750324517,21.533706444596127,72.74677866250806,8.200208892222093,phosphorus_root_support
tomato,vegetative,loam,133.2562850364949,19.93854842078005,15.281317843870053,7.97770928062754,potassium_fruit_support
rice,harvest,clay,130.4348746268301,57.17307777829785,95.25469498921494,7.122465202283616,balanced_npk_maintenance
wheat,seedling,clay,83.52731081769879,74.94798063508364,55.244944198605175,8.281163497790185,sulfur_ph_correction
citrus,seedling,silt,125.22710475760269,20.366460077170206,81.48547631162683,7.074920329013972,phosphorus_root_support
wheat,flowering,silt,53.98520462518628,59.97575188367729,77.06608754853599,6.247108127795668,balanced_npk_maintenance
citrus,harvest,clay,107.70286227864078,19.723884797735998,76.04326765403339,5.742766284974818,balanced_npk_maintenance
maize,harvest,clay,51.37784751577434,59.65806243431467,48.570633506874074,7.056953215863215,balanced_npk_maintenance
citrus,vegetative,clay,124.65416956203322,66.65571724468518,45.759929374855375,8.294852436353409,sulfur_ph_correction
maize,harvest,clay,42.38147982417177,61.46572023165305,24.469106540296668,6.513048604112246,nitrogen_boost
wheat,flowering,peaty,21.295329916852058,73.25878979529222,84.5962008990805,5.301502004477815,nitrogen_boost
soybean,flowering,loam,17.099724916328807,25.272309746806318,39.97381318628254,7.627922219172891,nitrogen_boost
rice,harvest,peaty,54.13787524460143,10.208591931627785,79.30402463412544,5.2269736414111705,lime_ph_correction
wheat,vegetative,clay,72.6798578789932,76.55569165589286,48.811233521838076,7.964182952790937,sulfur_ph_correction
tomato,fruiting,clay,43.156834061969704,63.77085077979054,76.4208056307056,6.5581046445496955,nitrogen_boost
wheat,harvest,silt,49.571859857700595,58.309968839111676,35.27672408066077,6.310154829974985,balanced_npk_maintenance
soybean,seedling,silt,76.78087873981309,48.30591573974041,19.63837483042966,7.337808395868779,balanced_npk_maintenance
rice,fruiting,clay,79.1865836788638,14.202549148629046,120.38164072277574,7.949254994068073,sulfur_ph_correction
maize,vegetative,clay,33.74616218252116,25.124653818940416,84.16971539197117,7.193396297065448,nitrogen_boost
wheat,harvest,sandy,119.38533183022261,62.66498800384463,109.60444911475187,7.018930455379254,balanced_npk_maintenance
wheat,vegetative,silt,133.80118659193462,80.69777541648524,101.52419989542261,6.414132288928406,balanced_npk_maintenance
lettuce,fruiting,silt,22.191178242952052,39.314653441114764,28.66234118177735,7.3374716047635005,nitrogen_boost
lettuce,flowering,loam,26.15297783652082,83.49241299745755,50.19072326626088,7.270900393668054,nitrogen_boost
wheat,fruiting,peaty,24.36657223389505,47.96122080175792,21.26519301467593,5.662079125635155,nitrogen_boost
rice,vegetative,silt,71.0947059429655,77.78194415134708,96.08829809017459,6.129411844268913,balanced_npk_maintenance
maize,harvest,clay,28.868296024702676,89.2243004758599,109.41570193237908,7.453957128315542,nitrogen_boost
soybean,flowering,sandy,103.90932771298749,51.02807906169212,47.15625951010253,5.337563493621917,lime_ph_correction
soybean,fruiting,peaty,105.34929321939076,74.39336899737278,15.332853992120889,5.270592164124659,lime_ph_correction
rice,harvest,peaty,125.39125685874278,81.40628829895635,73.7288269747396,4.878653785527499,lime_ph_correction
soybean,harvest,clay,116.7964904913343,40.880256702372414,81.96859457720808,7.0595345247394015,balanced_npk_maintenance
wheat,vegetative,loam,63.50448140407619,78.68717491514863,55.14447538046433,7.231843388307859,balanced_npk_maintenance
wheat,harvest,loam,122.24077080295902,83.00425295091524,21.349476804011648,5.069033669411662,lime_ph_correction
tomato,harvest,sandy,19.781884490130164,11.781347741788366,111.56080555710135,7.20661311159223,nitrogen_boost
rice,fruiting,sandy,128.4987843678623,80.59109589671064,82.10462225332822,5.238384308267319,lime_ph_correction
lettuce,harvest,loam,72.55768535439037,70.88996550439137,28.77055152756165,7.388179616627183,balanced_npk_maintenance
tomato,harvest,clay,39.51642361362198,80.96682040183484,37.88612428218781,7.808222830528951,nitrogen_boost
maize,vegetative,loam,27.95484923059302,61.72104939552209,19.56278989471776,7.184649072034334,nitrogen_boost
soybean,harvest,loam,98.95940627318106,75.82667040329417,103.47268884580329,8.110999429113363,sulfur_ph_correction
tomato,fruiting,clay,39.1006489855315,80.32478531943848,84.37106958501883,7.34384459366316,nitrogen_boost
maize,seedling,clay,63.60524443768769,37.18883752654278,107.30595753617042,7.348953414254984,balanced_npk_maintenance
soybean,vegetative,loam,56.71019874849699,24.385285205034915,104.99394282951891,5.833599603259877,balanced_npk_maintenance
rice,vegetative,loam,32.97713545665364,84.222102365143,76.02054488306393,5.93207453695059,nitrogen_boost
wheat,flowering,silt,16.400006916396382,26.746951132556184,44.526449839750285,5.926026480584674,nitrogen_boost
maize,fruiting,loam,112.55348073490515,32.64733877505806,80.5171709415164,7.801268343657888,sulfur_ph_correction
rice,harvest,peaty,93.10961144761849,20.749375610949333,86.27016828622463,7.443153469217527,balanced_npk_maintenance
rice,fruiting,peaty,67.58827091554815,84.24629518037712,92.15782633919945,7.093170184664233,balanced_npk_maintenance
wheat,harvest,peaty,108.13218190802571,66.92816829803078,99.18870604025692,6.364822628185242,balanced_npk_maintenance
rice,harvest,clay,87.61409819143176,59.66483333516466,24.334320587193684,6.344691176409257,balanced_npk_maintenance
citrus,harvest,clay,101.81608733619095,66.80849449571593,47.415778521697355,7.350432203145126,balanced_npk_maintenance
soybean,seedling,silt,78.95766362730267,74.04347946438581,120.8787145501946,6.544188109948763,balanced_npk_maintenance
maize,fruiting,peaty,85.71478313844264,80.78313239661932,88.98580597220003,6.294684732566434,balanced_npk_maintenance
rice,fruiting,peaty,105.55315017964114,50.88528671886187,106.23420293449122,8.114913289871765,sulfur_ph_correction
