condition,temperature,humidity,rainfall_mm,wind_speed,crop_name,suggestion_type
light_rain,38.45131547063843,35.09696835197505,14.408978296337647,28.361421218829854,tomato,heat_protection
clear,39.21876702381283,35.60648793795925,4.673438867167572,35.12515684486752,tomato,heat_protection
humid,27.80897482678666,79.40150943172523,21.831055233058382,22.962452240561543,soybean,normal_monitoring
light_rain,35.46243813748148,33.6413710874447,8.32535126800723,35.0077202308821,wheat,heat_protection
windy,15.794688249988136,36.933904661204174,2.2628680920368707,15.347902361252235,maize,normal_monitoring
humid,20.79549844482351,85.63320342761239,0.14068216967564817,8.96851293520797,maize,normal_monitoring
partly_cloudy,31.233925239248684,61.597736490237324,6.355017908158578,30.961594647810948,lettuce,wind_protection
windy,15.499591521179266,78.43256803208875,19.3476802333777,40.60008069929988,rice,wind_protection
clear,30.792704987817245,95.44552830232823,4.105813642280095,32.705099526577214,rice,wind_protection
windy,15.163578682650002,47.12127360467235,7.846606587828212,24.988853527720586,maize,normal_monitoring
windy,26.10109687048979,42.72477177832304,5.8797247107213835,6.805353486043776,soybean,normal_monitoring
humid,26.18387935666563,93.1453666298525,8.632514678234253,20.773026095229323,rice,normal_monitoring
heavy_rain,27.06978374385772,46.330356271080035,8.431648160634586,7.958849131214766,lettuce,normal_monitoring
clear,16.69562110378331,62.412810614905936,3.406473726589578,30.818279617774436,soybean,wind_protection
clear,30.6281271279562,60.74196195155038,8.721916959078357,18.665463857562585,wheat,normal_monitoring
windy,39.49519780094982,75.35516202204232,18.418517677991506,7.65000169660403,rice,heat_protection
heavy_rain,40.17320905851766,53.89483953519282,14.122839516564062,17.652117801312553,citrus,heat_protection
hot,16.68611689477239,79.11787517146895,4.976515846383172,22.66812562238501,citrus,normal_monitoring
humid,39.13435463220983,70.8022051307745,43.603930340969995,9.86936590096,maize,delay_irrigation
heavy_rain,25.42306622876669,74.61389283510789,6.499248093184965,24.00387788502728,rice,normal_monitoring
humid,16.361279994296318,70.81267835433725,24.802158005595928,40.75348444719125,rice,wind_protection
hot,24.703858369477384,64.75719721690871,18.78476779778473,31.4581162458117,soybean,wind_protection
hot,22.99453648713329,69.74001455703198,6.051892397957143,1.8762318820991997,maize,normal_monitoring
heavy_rain,38.97092185091489,81.44182010983823,3.980687969858865,1.6325239747311588,tomato,heat_protection
partly_cloudy,28.094714940694303,59.381032839662566,12.57269778394105,16.551762305317247,citrus,normal_monitoring
windy,34.00902851136546,74.70345441451477,4.467793774099554,9.590156414053391,citrus,heat_protection
light_rain,15.192619055755817,54.51285003457774,3.7525610122902204,19.80299225845731,rice,normal_monitoring
light_rain,29.784355220394403,45.79390111471395,9.36945497474081,1.7161028245693468,wheat,normal_monitoring
partly_cloudy,37.724625710574585,33.76995466382155,9.35678011712017,20.681205309486156,citrus,heat_protection
hot,28.562474724939392,61.13381035378845,2.000980502184566,8.877846237405038,lettuce,normal_monitoring
hot,20.0654743207364,68.67750916604615,3.17889077248127,31.499420343765067,tomato,wind_protection
windy,22.745910151977817,42.45493333201941,29.655447966527277,7.829237699833856,soybean,normal_monitoring
partly_cloudy,34.33599876723696,72.52440230956834,9.2931897301921,35.03877025260055,lettuce,heat_protection
partly_cloudy,24.965007665117263,47.03485507696625,1.9317054286077944,7.050305929235996,soybean,normal_monitoring
hot,16.538534391299933,67.80309364652592,5.425638803951147,8.758460720221143,maize,normal_monitoring
windy,19.866046965458445,53.948281786948485,22.069019937213184,30.769218001072865,lettuce,wind_protection
clear,20.369911879465583,31.081625106949808,18.569954810797093,4.434907585453031,maize,normal_monitoring
windy,39.98872671059327,77.42388753708266,4.6238776203740475,2.344602507730601,tomato,heat_protection
partly_cloudy,34.519618562126354,49.117880881375314,21.578225399407124,35.981299200022605,tomato,heat_protection
heavy_rain,35.277101371244086,36.97217326945514,8.912815204044769,6.435353745074369,soybean,heat_protection
clear,19.866072193147623,61.23956609900573,23.106120691866487,31.478510660299186,wheat,wind_protection
humid,39.60170646256492,44.07131808217608,0.7365724913758938,33.09297192190613,tomato,heat_protection
partly_cloudy,30.10126979133962,37.41300504554376,9.16107811981838,8.45696519126629,rice,normal_monitoring
clear,21.849853037561704,41.34032638881303,7.369316158212973,25.84980196278461,wheat,normal_monitoring
humid,30.402300191202496,57.5041596118828,19.19278678848638,3.200615472007186,lettuce,normal_monitoring
partly_cloudy,27.196693215157126,48.38138359601295,17.087093686085588,28.373229210380682,rice,normal_monitoring
heavy_rain,31.855546855087795,86.61719183966679,4.880481257087044,12.633396356675776,citrus,normal_monitoring
humid,24.513030549686057,78.60198876529313,19.351768618285643,39.614684463654044,soybean,wind_protection
humid,30.435514936893046,93.01561743076522,4.837770215493698,4.74038526328844,citrus,normal_monitoring
heavy_rain,24.25078919828769,37.12727646617905,0.8725593546732113,2.5527620310383186,lettuce,normal_monitoring
partly_cloudy,18.317137284196605,72.83701760695978,0.3024331435297607,42.00941561063876,rice,wind_protection
light_rain,26.842326550294025,50.85528575372089,5.855402694764716,10.85804951116046,tomato,normal_monitoring
hot,38.51012627724208,33.07135613978924,1.9888454142161758,13.211390895754018,tomato,heat_protection
light_rain,15.059482316523583,52.06774276026284,8.297863534038544,13.808125696615091,wheat,normal_monitoring
partly_cloudy,37.66995802504931,85.7299633947853,2.7619493648424864,18.820243606673444,wheat,heat_protection
hot,40.59027663311933,41.58874363971562,2.301308298090952,26.803057055560846,rice,heat_protection
partly_cloudy,14.082144147156786,63.55747194266362,3.300432412373919,32.18581973651615,wheat,wind_protection
light_rain,23.162743227293305,79.42522005803842,1.4533026699999319,31.670726725071013,lettuce,wind_protection
partly_cloudy,15.908196941246157,65.10413577436752,2.7357550121321044,10.789598679710288,soybean,normal_monitoring
clear,29.789003494913764,80.0737462408463,0.7586062720496927,22.98405219229933,rice,normal_monitoring
clear,39.20824101883862,66.06113390783015,11.785949516540766,44.83602073828647,maize,heat_protection
windy,19.10674263627679,46.11588137333328,2.2228162677783567,42.48246477650553,maize,wind_protection
heavy_rain,23.371858050478572,48.65435669303806,12.442891701278072,16.40348842665065,tomato,normal_monitoring
windy,23.042659264558925,80.5975775357364,4.0539142388650875,17.59666299766195,wheat,normal_monitoring
light_rain,27.76870223361257,61.56186464429348,10.12796853293737,12.885160226937057,citrus,normal_monitoring
heavy_rain,17.7437980018054,70.12131419763105,7.693853174756825,37.983706959529805,lettuce,wind_protection
humid,32.434674775243664,55.459315851652505,19.791208752157278,38.28339405913659,lettuce,wind_protection
clear,20.34861150590367,84.40066653425079,14.221731312038534,14.566145472763584,wheat,fungal_risk
humid,21.19193559852571,89.07099639225257,8.33933786599015,40.22082327839621,wheat,wind_protection
humid,18.50458071044637,77.46668868296793,8.237401875773624,4.816730958125214,rice,normal_monitoring
clear,25.65081890869849,32.997436563532304,1.8558822362481915,14.21447361670208,rice,normal_monitoring
humid,28.236814502562243,49.416253994668224,0.6760199557211843,26.363413969250367,maize,normal_monitoring
humid,31.284026812983573,72.06522740887803,8.848198629801612,24.247530062787558,tomato,normal_monitoring
heavy_rain,22.447818252414073,56.15848103569759,6.319940651977227,9.048714739955276,citrus,normal_monitoring
light_rain,31.6076561131093,54.323802128486115,7.800606123223416,42.41280347216278,citrus,wind_protection
heavy_rain,26.525716708502138,61.61805108969011,0.2842728105826249,33.4175459236354,rice,wind_protection
humid,37.437839966716204,52.37968388069112,3.224844113900621,6.044521308072714,rice,heat_protection
windy,19.460019919869637,55.822999801048454,6.848035945431496,28.470569623888547,wheat,normal_monitoring
clear,19.16836480351448,47.12639464218379,8.76564841286684,32.642202585663824,tomato,wind_protection
hot,34.55453333719764,74.69004651642683,1.9457257221856827,24.790445823458107,lettuce,heat_protection
hot,34.46518797532997,43.638716391235825,23.04641764824965,1.3038254257414872,soybean,heat_protection
