crop_name,leaf_green_index,spot_ratio,yellowing_ratio,texture_score,edge_damage,disease_name
maize,0.7470073364105156,0.43712791392937256,0.30236734984916425,0.26090552312535575,0.6767962948780135,northern_leaf_blight
rice,0.4649027149891183,0.11619229970668724,0.5575434729755113,0.580253950656682,0.12546803835217982,bacterial_leaf_blight
tomato,0.7528112663203087,0.45992736753263763,0.3599887883091881,0.8209558372165655,0.42760819161686336,early_blight
citrus,0.5405719736041276,0.17999126878271776,0.46437739942792117,0.8836962508189508,0.13553328103975204,healthy
citrus,0.6588318321378791,0.035670164386685015,0.3581944484292321,0.2676975630880236,0.5289113143316247,healthy
maize,0.8893506509349972,0.5481688543110043,0.46845254601492126,0.7502301509281184,0.4879369166469959,northern_leaf_blight
maize,0.6177731350743927,0.16882728520214763,0.27631087806441945,0.8838464104436157,0.6961744340161174,northern_leaf_blight
tomato,0.8203036464589949,0.3877646308919745,0.29436861474880877,0.6859195811981642,0.6054060603834872,early_blight
maize,0.8811436165773606,0.5605034752710477,0.010241095431232217,0.6714607147186482,0.16519434637888505,healthy
rice,0.26726716382400617,0.029456839481967395,0.5384190810880036,0.5131909437809377,0.06598311120265737,bacterial_leaf_blight
rice,0.8835627788185513,0.28119699824210903,0.46809042498054426,0.6178790375843332,0.381310534791256,bacterial_leaf_blight
tomato,0.6282590528801905,0.14777230540817948,0.22899540375948288,0.3148183931881494,0.5282772627998574,healthy
tomato,0.574434576957978,0.28888262025520123,0.23130593076104955,0.9323489824317168,0.6638286552985597,healthy
rice,0.5432864734038225,0.03766003917976017,0.6093205567776279,0.7216848833339471,0.27837450298994854,bacterial_leaf_blight
tomato,0.8480128331243788,0.02606836528027894,0.20117075830626385,0.5741676747062645,0.4097561236431288,healthy
rice,0.42725893584097896,0.03280609343752578,0.016900733105833118,0.21425472719418492,0.5566281235214535,healthy
tomato,0.641859526130889,0.40690359946234894,0.2769663518909243,0.24703769518295257,0.6030483333171941,early_blight
rice,0.5476596276238002,0.5276557886371996,0.43468695215975545,0.6663815251151262,0.5391400186891353,bacterial_leaf_blight
