crop_name,area_hectares,rainfall_mm,avg_temperature,avg_humidity,irrigation_events,fertilizer_score,soil_health_score,yield_tons
tomato,7.092076828193389,76.78487645001006,24.11541455642262,90.24348504423205,44,0.9072408878119015,0.5396748990890861,253.43815524069723
rice,37.4036658289773,155.63751774405995,35.098723281369985,58.44984450944031,16,0.9607671777859564,0.9597117810144582,180.55628698245243
wheat,1.4626312498625906,195.42784601219435,34.01510376906227,64.86018072743505,68,0.4675155999207948,0.9149673265190355,4.769895780999226
rice,30.22287102686196,64.75325432560933,22.025606758053588,90.69780516223481,18,0.529806323810302,0.8259305673867272,133.2347166374994
soybean,16.13748174309966,52.243101214011446,31.44321181904362,60.85630473505192,67,0.487554833030258,0.9909918720346889,41.702634953987896
rice,28.959288528420522,45.12301188099234,34.24888190391526,53.96884965971734,25,0.8639816870773024,0.9479352140285526,124.87364521524901
rice,53.795967445027706,216.72353669459267,27.322523660719508,76.28590741517499,49,0.8204077716415684,0.6871235423837824,275.9877496893166
maize,38.44920036371891,104.28812279324367,30.09029785481936,83.53720094450496,25,0.5260325816069522,0.5635746173725303,193.04733535313858
wheat,23.536713153251622,180.25323576228237,24.749683502404295,74.5276358650874,17,0.5019139460173875,0.8671344082012079,81.9876058832144
citrus,23.23190538139182,152.36502336210467,18.363187353165443,52.975861444262534,79,0.5280683548701322,0.7857367573804437,305.09407228915677
rice,2.9875391561477693,28.9424154163136,31.490810835133914,73.97778644458516,19,0.7901707475768915,0.4787380008155076,12.393596265262003
soybean,30.26587850834482,231.5944157760638,20.5957460108107,39.43515428018247,68,0.8913788131273197,0.6824785475667015,80.73662930532124
soybean,39.54587292341865,60.24033007769037,25.0205075176472,80.73256408112775,46,0.9370611275296906,0.9259593653102505,110.32542362459834
rice,43.848482080217394,159.9516960622387,18.421787093773695,50.026537038446335,49,0.8399541736888219,0.9152714944534517,199.61918208841564
tomato,38.84349599669025,91.69637207025966,19.670271602042064,40.61843052788146,77,0.6509250495378258,0.5138618618928429,1186.3968333747844
citrus,45.44952233116863,112.95247398154635,28.39343022408589,82.67026457761258,11,0.8856512609582688,0.6224436322984204,712.8783577352361
lettuce,26.338469945102922,46.3690249419828,19.99538995068465,39.80745962444336,47,0.9726257472076361,0.9488111381472422,537.2876053943975
soybean,46.618138692219134,222.28151356923908,19.763177730210504,68.09016775386227,20,0.5947488760086933,0.5558934539965028,113.90305752721858
maize,47.818642428643024,160.43291865344523,30.163958043553382,85.78866990784778,53,0.9954394668681211,0.7202132453558152,290.54482372485865
rice,51.58227158411764,77.33437888966589,33.18706964796067,44.23979225721931,18,0.7403219887089091,0.7912063315847766,225.93818480126927
citrus,33.76264048561242,226.82900765523894,23.46808595098586,41.79733145503411,61,0.4165518932205921,0.8120136548691987,527.4396679276315
wheat,2.3331534313114815,202.7846190092798,29.71136234265744,60.4185959131097,38,0.3537621140128071,0.5482749133204871,7.691660607059554
soybean,44.766475154134554,30.037521672861125,29.940507167531738,35.98222431234234,79,0.5348428286403961,0.8786925394498959,109.29927878911953
citrus,46.81180628469811,186.68573077519002,35.51585696431221,66.16708006130068,44,0.4933158855389012,0.8585385968943022,639.4764143036259
maize,1.58587918989106,59.794158669243274,20.79384904638434,74.40406297951503,25,0.45851040328219483,0.6982003574645771,7.1995923879258354
rice,46.264191110599434,212.78996663067755,25.3681354951823,44.83808332257814,71,0.47708095318421323,0.802642100999466,221.8371196167934
lettuce,3.746489683247455,229.54155386586896,29.201272440534098,81.28596422146009,72,0.6629533873675177,0.6401226391889276,81.49222794193174
maize,50.455060275192146,211.1853817550818,27.250448653460577,54.46388187768473,32,0.5396728322273319,0.522033984317384,261.15251528928786
rice,2.839814767685936,153.1372286217251,31.03513238706802,35.31323358305749,27,0.7589514456992478,0.4980020901014451,13.757950331776518
wheat,11.831705766295302,117.9486048779895,21.33254723849534,41.13123460695848,51,0.8618118356575735,0.8204202300049144,41.73784870676788
citrus,24.991766148051827,80.75189311813338,29.790954756160424,55.40371333309511,19,0.43789163396560854,0.6422753228179137,342.6663962493751
tomato,14.69617527549433,64.87758659325141,23.732217043060473,57.577635583959264,56,0.4331190949593277,0.7041043909346655,479.003348088876
citrus,54.519318920834124,117.11463165631842,21.152155080803254,37.89556943231765,25,0.6398764192832485,0.5785007140517151,770.4095305400875
